CAMPUS_NAME,SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_CRN,SSBSECT_CAMP_CODE,SPRIDEN_LAST_NAME,SPRIDEN_FIRST_NAME,ID,FAKE_ID,SSBSECT_SEQ_NUMB,SFRSTCR_TERM_CODE,SSRMEET_BEGIN_TIME,SSRMEET_END_TIME,SSRMEET_BLDG_CODE,SSRMEET_ROOM_CODE,DAYS,STVLANG_DESC,SCBCRSE_TITLE,STVNATN_NATION,STVRSTS_INCL_SECT_ENRL,STUDENT_LEVEL,COLLEGE,DEPARTMENT,DEGREE,MAJOR,GPA_OVERALL,EMAIL
Online,MATH,1111,51742,PF,Johnson,Danielle,2737496,2668828,26,202505,TBA,,ONLINE,,,Spanish,COLLEGE ALGEBRA,Ecuador,Y,UA,PC,,ASCC,BADM,3.95,djohnson38@student.gsu.edu
Online,MATH,1111,51737,PF,Walker,Joshua,2962705,2091833,24,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,0,000P,,jwalker17@student.gsu.edu
Online,MATH,1001,51729,PF,Rhodes,Jill,2857850,2977592,42,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,,jrhodes6@student.gsu.edu
Online,MATH,1111,51737,PF,Miller,Patricia,2967153,2502683,24,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,0,000P,,pmiller48@student.gsu.edu
Online,MATH,1001,53989,PF,Johnson,Robert,2817018,2717804,20,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,HLHP,0.4,rjohnson89@student.gsu.edu
Online,MATH,1001,51724,PF,Wagner,Jeffery,1966096,2675645,12,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,BADM,0,jwagner64@student.gsu.edu
Online,MATH,1401,52519,PF,Gonzalez,Anthony,900763055,2419061,40,202505,TBA,,ONLINE,,,,ELEMENTARY STATISTICS,,Y,UA,PC,,ASCC,HLHP,2.96,agonzalez24@student.gsu.edu
Online,MATH,999,54701,PF,Gardner,Debra,2750694,2275409,22,202505,TBA,,ONLINE,,,,SUPPORT FOR COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,CSCI,1.08,dgardner9@student.gsu.edu
Online,MATH,1001,54760,PF,Lawrence,Jeffrey,900836626,2975333,22,202505,TBA,,ONLINE,,,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,SOCW,1.6,jlawrence28@student.gsu.edu
Online,MATH,1111,53400,PF,Smith,Lisa,2862914,2669230,42,202505,TBA,,ONLINE,,,,COLLEGE ALGEBRA,,Y,UA,PC,,ASCC,BIOL,3.9,lsmith56@student.gsu.edu
Dunwoody -Associates courses,MATH,1001,51826,PN,Wolfe,Linda,2896769,2904222,50,202505,10:00,12:45,NE,1220,MW,,QUANTITATIVE REASONING,,Y,UA,PC,,ASCC,CSCI,0,lwolfe27@student.gsu.edu
